time_period,location,rainfall,mean_temperature,disease_cases
2011-09,ADAMANTINA,0.0,23.53274822235105,0.0
2011-10,ADAMANTINA,0.0,24.59339046478275,2.0
2011-11,ADAMANTINA,0.0,24.6930780410767,3.0
2011-12,ADAMANTINA,0.0,25.6567916870117,0.0
2012-01,ADAMANTINA,0.0,25.38142967224125,1.0
2012-02,ADAMANTINA,0.0,27.288399696350098,2.0
2012-03,ADAMANTINA,0.0,25.90994930267335,5.0
2012-04,ADAMANTINA,0.0,24.02949714660645,2.0
2012-05,ADAMANTINA,0.0,21.3852500915527,11.0
2012-06,ADAMANTINA,0.0,20.2058815956116,2.0
2012-07,ADAMANTINA,0.0,20.14193439483645,1.0
2012-08,ADAMANTINA,0.0,22.816123008728,3.0
2012-09,ADAMANTINA,0.0,24.7569341659546,1.0
2012-10,ADAMANTINA,0.0,26.65417385101315,2.0
2012-11,ADAMANTINA,0.0,25.73581981658935,2.0
2012-12,ADAMANTINA,0.0,27.300156593322747,20.0
2013-01,ADAMANTINA,0.0,25.65548324584965,68.0
2013-02,ADAMANTINA,0.0,27.038267135620103,325.0
2013-03,ADAMANTINA,0.0,25.6863889694214,1153.0
2013-04,ADAMANTINA,0.0,23.3675756454468,682.0
2013-05,ADAMANTINA,0.0,21.8610649108887,246.0
2013-06,ADAMANTINA,0.0,20.6457223892212,100.0
2013-07,ADAMANTINA,0.0,20.2980542182922,16.0
2013-08,ADAMANTINA,0.0,20.877082824707,19.0
2013-09,ADAMANTINA,0.0,23.47548961639405,5.0
2013-10,ADAMANTINA,0.0,24.63789463043215,0.0
2013-11,ADAMANTINA,0.0,25.635820388793952,0.0
2013-12,ADAMANTINA,0.0,26.19839477539065,3.0
2014-01,ADAMANTINA,0.0,26.9253101348877,6.0
2014-02,ADAMANTINA,0.0,27.788399696350098,13.0
2014-03,ADAMANTINA,0.0,25.668972015380906,4.0
2014-04,ADAMANTINA,0.0,24.0849933624268,53.0
2014-05,ADAMANTINA,0.0,21.488151550293,137.0
2014-06,ADAMANTINA,0.0,21.0047426223755,78.0
2014-07,ADAMANTINA,0.0,20.420476436615,31.0
2014-08,ADAMANTINA,0.0,22.8520984649658,10.0
2014-09,ADAMANTINA,0.0,24.92984771728515,6.0
2014-10,ADAMANTINA,0.0,26.8495101928711,4.0
2014-11,ADAMANTINA,0.0,25.7219276428223,4.0
2014-12,ADAMANTINA,0.0,25.9862651824951,8.0
2015-01,ADAMANTINA,0.0,27.1993627548218,215.0
2015-02,ADAMANTINA,0.0,26.921472549438494,428.0
2015-03,ADAMANTINA,0.0,25.626229286193848,1583.0
2015-04,ADAMANTINA,0.0,24.3265962600708,1537.0
2015-05,ADAMANTINA,0.0,21.68525075912475,530.0
2015-06,ADAMANTINA,0.0,21.00007915496825,169.0
2015-07,ADAMANTINA,0.0,21.1233777999878,97.0
2015-08,ADAMANTINA,0.0,23.89080142974855,97.0
2015-09,ADAMANTINA,0.0,25.0772533416748,26.0
2015-10,ADAMANTINA,0.0,25.789524078369148,22.0
2015-11,ADAMANTINA,0.0,25.93872261047365,16.0
2015-12,ADAMANTINA,0.0,26.4585552215576,42.0
2016-01,ADAMANTINA,0.0,26.23806381225585,118.0
2016-02,ADAMANTINA,0.0,27.72261238098145,136.0
2016-03,ADAMANTINA,0.0,26.08752822875975,174.0
2016-04,ADAMANTINA,0.0,26.08323097229,84.0
2016-05,ADAMANTINA,0.0,20.9686303138733,23.0
2016-06,ADAMANTINA,0.0,18.3273401260376,2.0
2016-07,ADAMANTINA,0.0,20.9148478507996,0.0
2016-08,ADAMANTINA,0.0,22.286312103271506,0.0
2016-09,ADAMANTINA,0.0,23.180154800415053,1.0
2016-10,ADAMANTINA,0.0,24.904041290283203,2.0
2016-11,ADAMANTINA,0.0,25.139344215393105,1.0
2016-12,ADAMANTINA,0.0,26.018713951110847,14.0
2017-01,ADAMANTINA,0.0,26.65724563598635,2.0
2017-02,ADAMANTINA,0.0,27.59016513824465,1.0
2017-03,ADAMANTINA,0.0,26.42799282073975,0.0
2017-04,ADAMANTINA,0.0,23.74452781677245,0.0
2017-05,ADAMANTINA,0.0,22.5308952331543,3.0
2017-06,ADAMANTINA,0.0,20.44572162628175,0.0
2017-07,ADAMANTINA,0.0,20.35679054260255,0.0
2017-08,ADAMANTINA,0.0,22.809357166290248,2.0
2017-09,ADAMANTINA,0.0,25.495635986328097,3.0
2017-10,ADAMANTINA,0.0,25.91547203063965,2.0
2017-11,ADAMANTINA,0.0,25.03934478759765,0.0
2017-12,ADAMANTINA,0.0,25.9585542678833,1.0
2018-01,ADAMANTINA,0.0,25.85838317871095,3.0
2018-02,ADAMANTINA,0.0,26.279870986938494,9.0
2018-03,ADAMANTINA,0.0,26.568971633911147,7.0
2018-04,ADAMANTINA,0.0,25.2888593673706,2.0
2018-05,ADAMANTINA,0.0,22.5823497772217,4.0
2018-06,ADAMANTINA,0.0,20.147998332977306,1.0
2018-07,ADAMANTINA,0.0,21.1209902763367,1.0
2018-08,ADAMANTINA,0.0,21.0596647262573,6.0
2018-09,ADAMANTINA,0.0,23.9580717086792,1.0
2018-10,ADAMANTINA,0.0,25.1727304458618,1.0
2018-11,ADAMANTINA,0.0,25.619026184082053,0.0
2018-12,ADAMANTINA,0.0,26.7411365509033,1.0
2019-01,ADAMANTINA,0.0,27.3392038345337,21.0
2019-02,ADAMANTINA,0.0,26.98339557647705,114.0
2019-03,ADAMANTINA,0.0,26.2123365402222,323.0
2019-04,ADAMANTINA,0.0,25.06933784484865,997.0
2019-05,ADAMANTINA,0.0,23.1315174102783,2218.0
2019-06,ADAMANTINA,0.0,21.8079833984375,1325.0
2019-07,ADAMANTINA,0.0,20.4233784675598,451.0
2019-08,ADAMANTINA,0.0,22.254999637603756,164.0
2019-09,ADAMANTINA,0.0,24.73565006256105,99.0
2019-10,ADAMANTINA,0.0,26.65355014801025,94.0
2019-11,ADAMANTINA,0.0,26.85033798217775,233.0
2019-12,ADAMANTINA,0.0,26.04403591156005,257.0
