time_period,location,rainfall,mean_temperature,disease_cases,population
2000-01,AN GIANG,25.292,26.21,114.0,2211544.01
2000-02,AN GIANG,27.859,26.87,73.0,2211544.01
2000-03,AN GIANG,79.686,27.92,63.0,2211544.01
2000-04,AN GIANG,166.533,27.59,127.0,2211544.01
2000-05,AN GIANG,182.47,27.37,301.0,2211544.01
2000-06,AN GIANG,256.345,26.48,383.0,2211544.01
2000-07,AN GIANG,183.634,26.55,375.0,2211544.01
2000-08,AN GIANG,237.97,26.54,585.0,2211544.01
2000-09,AN GIANG,198.228,26.72,423.0,2211544.01
2000-10,AN GIANG,367.548,26.07,330.0,2211544.01
2000-11,AN GIANG,151.672,26.1,245.0,2211544.01
2000-12,AN GIANG,127.691,25.68,221.0,2211544.01
2001-01,AN GIANG,46.183,25.53,178.0,2211544.01
2001-02,AN GIANG,33.959,26.58,176.0,2211544.01
2001-03,AN GIANG,139.248,27.48,148.0,2211544.01
2001-04,AN GIANG,121.248,28.18,187.0,2211544.01
2001-05,AN GIANG,133.78,27.78,408.0,2211544.01
2001-06,AN GIANG,238.535,26.83,641.0,2211544.01
2001-07,AN GIANG,191.575,26.96,599.0,2211544.01
2001-08,AN GIANG,229.253,26.72,579.0,2211544.01
2001-09,AN GIANG,240.789,26.82,531.0,2211544.01
2001-10,AN GIANG,347.679,26.33,328.0,2211544.01
2001-11,AN GIANG,56.477,25.91,155.0,2211544.01
2001-12,AN GIANG,25.314,26.49,97.0,2211544.01
2002-01,AN GIANG,0.971,26.35,76.0,2211544.01
2002-02,AN GIANG,1.089,27.57,39.0,2211544.01
2002-03,AN GIANG,4.937,29.36,29.0,2211544.01
2002-04,AN GIANG,45.73,30.11,77.0,2211544.01
2002-05,AN GIANG,128.884,29.23,111.0,2211544.01
2002-06,AN GIANG,185.71,27.42,162.0,2211544.01
2002-07,AN GIANG,105.228,28.05,264.0,2211544.01
2002-08,AN GIANG,257.939,26.81,222.0,2211544.01
2002-09,AN GIANG,223.399,26.69,198.0,2211544.01
2002-10,AN GIANG,244.795,26.8,250.0,2211544.01
2002-11,AN GIANG,160.143,26.42,165.0,2211544.01
2002-12,AN GIANG,69.345,26.72,159.0,2211544.01
2003-01,AN GIANG,1.391,25.87,107.0,2211544.01
2003-02,AN GIANG,2.559,27.47,55.0,2211544.01
2003-03,AN GIANG,20.684,29.29,81.0,2211544.01
2003-04,AN GIANG,29.186,30.62,96.0,2211544.01
2003-05,AN GIANG,222.803,27.71,119.0,2211544.01
2003-06,AN GIANG,164.5,27.42,145.0,2211544.01
2003-07,AN GIANG,294.56,26.66,166.0,2211544.01
2003-08,AN GIANG,267.292,27.04,251.0,2211544.01
2003-09,AN GIANG,276.254,26.46,245.0,2211544.01
2003-10,AN GIANG,425.143,25.97,213.0,2211544.01
2003-11,AN GIANG,96.283,26.96,179.0,2211544.01
2003-12,AN GIANG,10.343,26.2,161.0,2211544.01
2004-01,AN GIANG,4.738,26.95,84.0,2211544.01
2004-02,AN GIANG,3.36,26.88,110.0,2211544.01
2004-03,AN GIANG,13.953,28.93,202.0,2211544.01
2004-04,AN GIANG,49.808,30.31,226.0,2211544.01
2004-05,AN GIANG,161.575,28.19,217.0,2211544.01
2004-06,AN GIANG,237.58,26.87,264.0,2211544.01
2004-07,AN GIANG,228.311,26.76,658.0,2211544.01
2004-08,AN GIANG,213.121,26.77,743.0,2211544.01
2004-09,AN GIANG,255.779,26.71,868.0,2211544.01
2004-10,AN GIANG,167.933,26.45,635.0,2211544.01
2004-11,AN GIANG,86.865,27.0,655.0,2211544.01
2004-12,AN GIANG,1.6,26.35,621.0,2211544.01
2005-01,AN GIANG,2.883,25.93,257.0,2211544.01
2005-02,AN GIANG,0.675,27.67,107.0,2211544.01
2005-03,AN GIANG,13.734,28.53,143.0,2211544.01
2005-04,AN GIANG,31.213,30.19,231.0,2211544.01
2005-05,AN GIANG,195.405,28.24,180.0,2211544.01
2005-06,AN GIANG,156.085,27.56,130.0,2211544.01
2005-07,AN GIANG,248.319,26.57,252.0,2211544.01
2005-08,AN GIANG,173.413,27.22,384.0,2211544.01
2005-09,AN GIANG,224.83,26.8,399.0,2211544.01
2005-10,AN GIANG,328.072,26.48,275.0,2211544.01
2005-11,AN GIANG,145.697,26.23,237.0,2211544.01
2005-12,AN GIANG,101.638,24.95,252.0,2211544.01
2006-01,AN GIANG,17.484,25.91,209.0,2211544.01
2006-02,AN GIANG,12.733,27.54,61.0,2211544.01
2006-03,AN GIANG,42.984,28.27,94.0,2211544.01
2006-04,AN GIANG,124.369,28.27,134.0,2211544.01
2006-05,AN GIANG,233.801,27.27,170.0,2211544.01
2006-06,AN GIANG,269.949,26.79,186.0,2211544.01
2006-07,AN GIANG,192.135,26.7,217.0,2211544.01
2006-08,AN GIANG,264.117,26.58,350.0,2211544.01
2006-09,AN GIANG,301.331,26.53,228.0,2211544.01
2006-10,AN GIANG,234.01,26.47,316.0,2211544.01
2006-11,AN GIANG,48.568,27.32,223.0,2211544.01
2006-12,AN GIANG,12.468,27.36,587.0,2211544.01
2007-01,AN GIANG,52.642,26.18,297.0,2211544.01
2007-02,AN GIANG,4.213,26.77,139.0,2211544.01
2007-03,AN GIANG,69.901,28.12,152.0,2211544.01
2007-04,AN GIANG,108.313,29.08,395.0,2211544.01
2007-05,AN GIANG,238.331,27.17,771.0,2211544.01
2007-06,AN GIANG,275.355,27.22,1374.0,2211544.01
2007-07,AN GIANG,245.057,26.63,1327.0,2211544.01
2007-08,AN GIANG,218.112,26.74,1522.0,2211544.01
2007-09,AN GIANG,233.868,26.87,1328.0,2211544.01
2007-10,AN GIANG,347.016,26.11,703.0,2211544.01
2007-11,AN GIANG,126.402,25.29,534.0,2211544.01
2007-12,AN GIANG,20.984,26.51,291.0,2211544.01
2008-01,AN GIANG,17.165,26.58,224.0,2211544.01
2008-02,AN GIANG,14.454,27.07,93.0,2211544.01
2008-03,AN GIANG,52.779,27.83,103.0,2211544.01
2008-04,AN GIANG,148.374,28.28,75.0,2211544.01
2008-05,AN GIANG,279.232,26.66,76.0,2211544.01
2008-06,AN GIANG,196.101,26.82,181.0,2211544.01
2008-07,AN GIANG,228.479,26.85,200.0,2211544.01
2008-08,AN GIANG,231.844,26.73,153.0,2211544.01
2008-09,AN GIANG,348.715,26.48,252.0,2211544.01
2008-10,AN GIANG,283.67,26.59,247.0,2211544.01
2008-11,AN GIANG,211.664,25.66,273.0,2211544.01
2008-12,AN GIANG,87.39,25.35,239.0,2211544.01
2009-01,AN GIANG,5.395,24.36,137.0,2211544.01
2009-02,AN GIANG,53.178,26.55,120.0,2211544.01
2009-03,AN GIANG,79.27,28.2,109.0,2211544.01
2009-04,AN GIANG,145.633,28.29,144.0,2211544.01
2009-05,AN GIANG,265.844,26.87,290.0,2211544.01
2009-06,AN GIANG,162.784,27.26,348.0,2211544.01
2009-07,AN GIANG,198.606,27.04,251.0,2211544.01
2009-08,AN GIANG,207.155,27.43,445.0,2211544.01
2009-09,AN GIANG,263.102,26.56,688.0,2211544.01
2009-10,AN GIANG,210.621,26.44,571.0,2211544.01
2009-11,AN GIANG,43.534,26.89,586.0,2211544.01
2009-12,AN GIANG,20.058,26.75,461.0,2211544.01
2000-01,DAK LAK,34.409,21.64,7.0,2114170.98
2000-02,DAK LAK,35.191,22.21,13.0,2114170.98
2000-03,DAK LAK,33.276,24.15,18.0,2114170.98
2000-04,DAK LAK,146.428,25.3,1.0,2114170.98
2000-05,DAK LAK,242.794,25.47,40.0,2114170.98
2000-06,DAK LAK,163.75,24.42,55.0,2114170.98
2000-07,DAK LAK,181.898,24.05,29.0,2114170.98
2000-08,DAK LAK,178.226,24.34,9.0,2114170.98
2000-09,DAK LAK,171.106,23.74,18.0,2114170.98
2000-10,DAK LAK,302.809,23.28,12.0,2114170.98
2000-11,DAK LAK,105.042,22.31,46.0,2114170.98
