time_period,location,rainfall,mean_temperature,disease_cases,population
2000-01,AN GIANG,25.292,26.21,,2211544
2000-02,AN GIANG,27.859,26.87,,2211544
2000-03,AN GIANG,79.686,27.92,1564.0,2211544
2000-04,AN GIANG,166.533,27.59,1061.0,2211544
2000-05,AN GIANG,182.47,27.37,2183.0,2211544
2000-06,AN GIANG,256.345,26.48,3388.0,2211544
2000-07,AN GIANG,183.634,26.55,6009.0,2211544
2000-08,AN GIANG,237.97,26.54,4339.0,2211544
2000-09,AN GIANG,198.228,26.72,869.0,2211544
2000-10,AN GIANG,367.548,26.07,2454.0,2211544
2000-11,AN GIANG,151.672,26.1,1180.0,2211544
2000-12,AN GIANG,127.691,25.68,28993.0,2211544
2001-01,AN GIANG,46.183,25.53,629.0,2211544
2001-02,AN GIANG,33.959,26.58,146.0,2211544
2001-03,AN GIANG,139.248,27.48,690.0,2211544
2001-04,AN GIANG,121.248,28.18,2840.0,2211544
2001-05,AN GIANG,133.78,27.78,13694.0,2211544
2001-06,AN GIANG,238.535,26.83,10754.0,2211544
2001-07,AN GIANG,191.575,26.96,426.0,2211544
2001-08,AN GIANG,229.253,26.72,1860.0,2211544
2001-09,AN GIANG,240.789,26.82,804.0,2211544
2001-10,AN GIANG,347.679,26.33,357.0,2211544
2001-11,AN GIANG,56.477,25.91,1225.0,2211544
2001-12,AN GIANG,25.314,26.49,6599.0,2211544
2002-01,AN GIANG,0.971,26.35,487.0,2211544
2002-02,AN GIANG,1.089,27.57,125.0,2211544
2002-03,AN GIANG,4.937,29.36,1274.0,2211544
2002-04,AN GIANG,45.73,30.11,5443.0,2211544
2002-05,AN GIANG,128.884,29.23,10993.0,2211544
2002-06,AN GIANG,185.71,27.42,3560.0,2211544
2002-07,AN GIANG,105.228,28.05,1112.0,2211544
2002-08,AN GIANG,257.939,26.81,4134.0,2211544
2002-09,AN GIANG,223.399,26.69,265.0,2211544
2002-10,AN GIANG,244.795,26.8,3276.0,2211544
2002-11,AN GIANG,160.143,26.42,2501.0,2211544
2002-12,AN GIANG,69.345,26.72,2742.0,2211544
2003-01,AN GIANG,1.391,25.87,1274.0,2211544
2003-02,AN GIANG,2.559,27.47,246.0,2211544
