time_period,location,rainfall,mean_temperature,disease_cases,population
2012-01,loc,209.14446961688833,25.38142967224125,,33000
2012-02,loc,177.15659634947568,27.288399696350098,,33030
2012-03,loc,121.995406597966,25.90994930267335,,33060
2012-04,loc,56.973958631080116,24.02949714660645,1415.0,33090
2012-05,loc,8.414446083564712,21.3852500915527,2495.0,33120
2012-06,loc,41.90674463425402,20.2058815956116,125.0,33150
2012-07,loc,9.975946626589966,20.14193439483645,13.0,33180
2012-08,loc,20.918071543074703,22.816123008728,2.0,33210
2012-09,loc,41.90281887585641,24.7569341659546,7.0,33240
2012-10,loc,44.96296003718009,26.65417385101315,13.0,33270
2012-11,loc,89.18632981648278,25.73581981658935,39.0,33300
2012-12,loc,186.980616800561,27.300156593322747,99.0,33330
2013-01,loc,224.37407884105252,25.65548324584965,64.0,33360
2013-02,loc,212.01273101282985,27.038267135620103,202.0,33390
2013-03,loc,72.67620827417034,25.6863889694214,174.0,33420
2013-04,loc,30.489773343476347,23.3675756454468,2737.0,33450
2013-05,loc,26.16379661892326,21.8610649108887,259.0,33480
2013-06,loc,54.87745778673403,20.6457223892212,27.0,33510
2013-07,loc,21.45706096964828,20.2980542182922,4.0,33540
2013-08,loc,42.90049041914395,20.877082824707,12.0,33570
2013-09,loc,20.373423738356646,23.47548961639405,8.0,33600
2013-10,loc,57.267943840265694,24.63789463043215,4.0,33630
2013-11,loc,135.34680631501533,25.635820388793952,23.0,33660
2013-12,loc,195.06922719965522,26.19839477539065,15.0,33690
2014-01,loc,229.00058425198552,26.9253101348877,91.0,33720
2014-02,loc,198.65784965917265,27.788399696350098,1866.0,33750
2014-03,loc,115.98710214503272,25.668972015380906,5545.0,33780
2014-04,loc,54.71544715338971,24.0849933624268,2730.0,33810
2014-05,loc,41.466811262847045,21.488151550293,1305.0,33840
2014-06,loc,16.58104251950571,21.0047426223755,170.0,33870
2014-07,loc,45.2298094377398,20.420476436615,33.0,33900
2014-08,loc,8.644162039579308,22.8520984649658,8.0,33930
2014-09,loc,26.073849003602056,24.92984771728515,6.0,33960
2014-10,loc,44.72516646126917,26.8495101928711,41.0,33990
2014-11,loc,130.78275645461173,25.7219276428223,7.0,34020
2014-12,loc,175.2470665305374,25.9862651824951,51.0,34050
2015-01,loc,222.54135668117502,27.1993627548218,189.0,34080
2015-02,loc,158.5660648589652,26.92147254943849,971.0,34110
2015-03,loc,121.85759930704674,25.626229286193848,3248.0,34140
2015-04,loc,59.151671521108085,24.3265962600708,1739.0,34170
2015-05,loc,19.728507244395782,21.68525075912475,2750.0,34200
2015-06,loc,25.34136023200327,21.00007915496825,360.0,34230
2015-07,loc,37.89909471695931,21.1233777999878,41.0,34260
2015-08,loc,4.657003485110128,23.89080142974855,8.0,34290
2015-09,loc,0.0,25.0772533416748,2.0,34320
2015-10,loc,79.34463382131807,25.789524078369148,20.0,34350
2015-11,loc,107.42060485018209,25.93872261047365,27.0,34380
2015-12,loc,170.67491745148567,26.4585552215576,6.0,34410
2016-01,loc,204.50411752844457,26.23806381225585,213.0,34440
2016-02,loc,169.74107281147155,27.72261238098145,1748.0,34470
2016-03,loc,97.35087432434766,26.08752822875975,1550.0,34500
2016-04,loc,18.959280125864414,26.08323097229,3765.0,34530
2016-05,loc,16.300613873408295,20.9686303138733,701.0,34560
2016-06,loc,29.425733319599942,18.3273401260376,63.0,34590
2016-07,loc,44.68651220669481,20.9148478507996,1.0,34620
2016-08,loc,18.522234667599477,22.286312103271506,1.0,34650
2016-09,loc,22.851423986777398,23.180154800415053,5.0,34680
2016-10,loc,51.568106846602355,24.904041290283203,11.0,34710
2016-11,loc,81.45547392001461,25.139344215393105,16.0,34740
2016-12,loc,172.17744857880155,26.018713951110847,36.0,34770
2017-01,loc,248.3098880330512,26.65724563598635,114.0,34800
2017-02,loc,171.07108904213558,27.59016513824465,366.0,34830
2017-03,loc,106.60638979352538,26.42799282073975,3511.0,34860
2017-04,loc,54.385785029785964,23.74452781677245,5250.0,34890
2017-05,loc,11.845408598691009,22.5308952331543,852.0,34920
2017-06,loc,47.98350479148601,20.44572162628175,272.0,34950
2017-07,loc,31.36193139560642,20.35679054260255,11.0,34980
2017-08,loc,52.68338333785255,22.809357166290248,0.0,35010
2017-09,loc,30.703059978734395,25.495635986328097,12.0,35040
2017-10,loc,29.70744380756003,25.91547203063965,17.0,35070
2017-11,loc,108.72620893986388,25.03934478759765,101.0,35100
2017-12,loc,186.23254455081957,25.9585542678833,12.0,35130
2018-01,loc,203.69811837352967,25.85838317871095,83.0,35160
2018-02,loc,179.96225469875128,26.27987098693849,650.0,35190
2018-03,loc,120.56417232582723,26.568971633911147,2108.0,35220
2018-04,loc,41.14768930002217,25.2888593673706,930.0,35250
2018-05,loc,58.81995785435559,22.5823497772217,2164.0,35280
2018-06,loc,29.546297644341024,20.147998332977306,319.0,35310
2018-07,loc,24.961194714866167,21.1209902763367,24.0,35340
2018-08,loc,3.8951111928348006,21.0596647262573,3.0,35370
2018-09,loc,28.206490993674116,23.9580717086792,1.0,35400
2018-10,loc,44.602479212765175,25.1727304458618,8.0,35430
2018-11,loc,118.56434095238785,25.619026184082053,13.0,35460
2018-12,loc,165.05182531442318,26.7411365509033,20.0,35490
2019-01,loc,246.00863004812007,27.3392038345337,180.0,35520
2019-02,loc,176.8915431304658,26.98339557647705,780.0,35550
2019-03,loc,118.69679667854564,26.2123365402222,2367.0,35580
2019-04,loc,33.320191475339946,25.06933784484865,1729.0,35610
2019-05,loc,27.491839413517088,23.1315174102783,4253.0,35640
2019-06,loc,12.042638806641332,21.8079833984375,436.0,35670
2019-07,loc,46.84795895200274,20.4233784675598,17.0,35700
2019-08,loc,36.95305390539406,22.25499963760376,2.0,35730
2019-09,loc,4.67187629571422,24.73565006256105,1.0,35760
2019-10,loc,53.559863625088575,26.65355014801025,13.0,35790
2019-11,loc,129.75983935288156,26.85033798217775,42.0,35820
2019-12,loc,181.4221070045579,26.04403591156005,52.0,35850
