time_period,location,rainfall,mean_temperature,humidity,disease_cases,population
2000-01,delta,12.341019055476245,26.573435151719707,81.43192297166352,,1500000
2000-02,delta,72.6832668513598,28.37097478184453,80.40999911046698,,1500000
2000-03,delta,113.90156002359247,31.135369369768615,74.0176316902445,1050.0,1500000
2000-04,delta,184.51852606384676,30.589081880343816,79.85869444967916,6131.0,1500000
2000-05,delta,239.39042328408246,29.64399171466036,76.91411522333621,9837.0,1500000
2000-06,delta,424.4514699092864,29.14618754146193,87.40549512755933,6787.0,1500000
2000-07,delta,477.536173700318,26.954051545212454,76.69696739244777,2345.0,1500000
2000-08,delta,339.47809332566294,27.18820230376229,86.34906300049302,10337.0,1500000
2000-09,delta,283.68885529981316,23.825656239534247,74.3862946885141,10055.0,1500000
2000-10,delta,152.01811798556565,23.130479794296832,78.12781432089565,510.0,1500000
2000-11,delta,61.173719014695486,25.88779958394989,81.59827772497884,310.0,1500000
2000-12,delta,30.761120265033565,24.72159701805788,75.32856737192621,180.0,1500000
2001-01,delta,53.031317305339776,27.224854940632692,78.47729238876852,243.0,1500000
2001-02,delta,51.060948112010934,28.97387259721597,83.33120625619335,280.0,1500000
2001-03,delta,108.27308547331798,29.95727671929945,82.11266988745021,839.0,1500000
2001-04,delta,81.73077934103968,29.63454735311061,86.93774396195161,1663.0,1500000
2001-05,delta,230.82687247538692,30.556990494251703,81.21340965141623,1827.0,1500000
2001-06,delta,456.00552362027406,28.127902823315168,91.88676368518693,7019.0,1500000
2001-07,delta,465.6444665781227,26.788159870353653,84.40183474683559,4610.0,1500000
2001-08,delta,413.32307962594024,25.456103075007082,72.28138174531698,5969.0,1500000
2001-09,delta,287.1279119804202,25.12354991395687,80.23403762854832,417.0,1500000
2001-10,delta,128.3224700259933,22.829409828516468,81.65914205740948,1569.0,1500000
2001-11,delta,158.02209914781116,25.102791100598,81.42822123134859,186.0,1500000
2001-12,delta,56.57689138803383,25.783624669246407,73.95871189960924,134.0,1500000
2002-01,delta,9.768844507676238,27.073130833240498,73.85914108794589,668.0,1500000
2002-02,delta,52.32000553059448,28.66374460310669,81.4388035633692,674.0,1500000
2002-03,delta,0.0,30.349613886569887,77.60357526269912,3049.0,1500000
2002-04,delta,107.15590421275627,31.205278081085016,85.06093256561108,1640.0,1500000
2002-05,delta,267.0647020534994,29.793968561922515,70.66909135534078,2295.0,1500000
2002-06,delta,386.2070261389919,28.694157535133964,77.20395124110699,2459.0,1500000
2002-07,delta,517.8949581433126,27.441883374121275,74.0481948486057,3723.0,1500000
2002-08,delta,387.07185175168905,25.17985366655469,82.05425250838323,4077.0,1500000
2002-09,delta,249.15457466127674,23.230524936941887,77.48047286382518,3035.0,1500000
2002-10,delta,64.1151175914449,23.607837662161753,82.02796288079752,767.0,1500000
2002-11,delta,99.97584955946687,23.98978496811416,80.48225987741203,215.0,1500000
2002-12,delta,28.183565607785667,23.660910313448127,85.12856642684216,130.0,1500000
2003-01,delta,5.684937496579408,27.385616213996446,78.91461481024886,101.0,1500000
2003-02,delta,20.53268689913027,28.878027785442924,81.75974216006526,499.0,1500000
2003-03,delta,32.772950953393966,30.015168995957815,74.93268519026547,1308.0,1500000
2003-04,delta,103.2706887129993,30.3874791544887,90.57859539306475,1765.0,1500000
2003-05,delta,249.841210072061,30.256329736008396,78.09371080814566,2220.0,1500000
2003-06,delta,480.5498758761351,28.93333478813099,77.66781422670802,4606.0,1500000
2003-07,delta,453.34770111626995,27.09203300841449,86.2385530597285,1244.0,1500000
2003-08,delta,401.6610394846622,24.86924403439714,75.93193598946087,13399.0,1500000
2003-09,delta,252.87864659226562,25.702783516622905,81.95094194120684,2739.0,1500000
2003-10,delta,141.20774678379593,23.73020641813554,82.98265108745177,2956.0,1500000
2003-11,delta,93.65391328927794,25.254224917704015,74.53824997922467,193.0,1500000
2003-12,delta,107.6711659167802,24.340642149211106,76.2996950199384,164.0,1500000
2004-01,delta,83.97369651933163,27.490576591512585,77.92138686022984,168.0,1500000
2004-02,delta,0.0,28.448667474358146,78.04551845026253,843.0,1500000
2004-03,delta,37.544893427099055,31.750101944971803,81.48700636468793,1106.0,1500000
2004-04,delta,214.23114312969878,29.1731158637517,80.96256678116721,2157.0,1500000
2004-05,delta,299.2468287371478,29.262882139897798,80.78237830312894,2594.0,1500000
2004-06,delta,468.9156595151639,26.96370120680423,81.75042868867772,6099.0,1500000
2004-07,delta,463.82197114241956,27.050722048482154,80.38504390446494,8022.0,1500000
2004-08,delta,403.34862733881585,27.119197107183133,82.4364668346892,3900.0,1500000
2004-09,delta,258.09322929360576,23.639122602421587,82.68285742728644,4141.0,1500000
2004-10,delta,162.33963314405705,24.91690975854466,81.39598459331901,550.0,1500000
2004-11,delta,53.81350855556746,24.11937370193279,81.84719694743256,250.0,1500000
2004-12,delta,27.791252799691975,25.540850293622217,77.17683391444565,472.0,1500000
2005-01,delta,23.0697433123853,27.702997337027774,78.79957438042408,207.0,1500000
2005-02,delta,47.29364239836335,29.77772160760367,81.0787472125726,424.0,1500000
2005-03,delta,43.46598236151037,30.982807467012428,78.7825010623328,1459.0,1500000
2005-04,delta,138.28953715502522,31.768360441265738,79.84895853079199,4309.0,1500000
2005-05,delta,270.23941159366717,30.586817467037648,82.47159785267931,6818.0,1500000
2005-06,delta,454.7182340200143,31.07361977786042,82.82731408184526,3942.0,1500000
2005-07,delta,493.6540923514789,28.467540506009605,90.40248599648126,6833.0,1500000
2005-08,delta,379.76018358863297,24.952807402265716,78.99931873043377,6213.0,1500000
2005-09,delta,260.20929792460225,23.627754311130264,76.33151932686961,4372.0,1500000
2005-10,delta,190.2892877492348,23.033472173344137,76.88562903609099,627.0,1500000
2005-11,delta,108.40814034137547,22.537700052353806,71.841968098567,165.0,1500000
2005-12,delta,72.92286581224835,25.85988904549966,78.3119879600672,202.0,1500000
2006-01,delta,13.136633449961515,24.95464642486415,82.1514162316938,603.0,1500000
2006-02,delta,16.428146848675063,27.90639970043124,81.84904648820992,264.0,1500000
