time_period,location,rainfall,mean_temperature,disease_cases,population
2010-01,loc,37.965,20.04,,75000
2010-02,loc,8.527,22.22,,75000
2010-03,loc,23.591,24.59,6104.0,75000
2010-04,loc,101.176,27.52,11724.0,75000
2010-05,loc,106.366,27.23,8996.0,75000
2010-06,loc,235.044,26.01,8239.0,75000
2010-07,loc,512.741,24.6,25875.0,75000
2010-08,loc,483.291,23.8,1077.0,75000
2010-09,loc,282.196,23.74,8836.0,75000
2010-10,loc,145.437,22.68,18208.0,75000
2010-11,loc,6.601,20.44,3360.0,75000
2010-12,loc,45.062,19.31,1837.0,75000
2011-01,loc,29.189,18.16,832.0,75000
2011-02,loc,7.948,21.24,637.0,75000
2011-03,loc,95.081,21.08,2320.0,75000
2011-04,loc,165.476,23.52,3331.0,75000
2011-05,loc,309.719,23.51,1549.0,75000
2011-06,loc,280.401,23.93,1214.0,75000
2011-07,loc,395.965,24.14,6504.0,75000
2011-08,loc,394.6,23.5,4546.0,75000
2011-09,loc,346.165,23.28,30340.0,75000
2011-10,loc,65.909,22.71,27195.0,75000
2011-11,loc,11.921,20.2,7684.0,75000
2011-12,loc,5.966,18.21,808.0,75000
2012-01,loc,48.604,18.88,87.0,75000
2012-02,loc,10.379,22.47,822.0,75000
2012-03,loc,45.608,24.01,1550.0,75000
2012-04,loc,75.97,25.76,9847.0,75000
2012-05,loc,372.717,24.78,10788.0,75000
2012-06,loc,234.729,24.37,2667.0,75000
2012-07,loc,434.478,23.16,7994.0,75000
2012-08,loc,362.176,23.7,14330.0,75000
2012-09,loc,242.424,23.69,8849.0,75000
2012-10,loc,107.072,22.96,11045.0,75000
2012-11,loc,119.215,22.14,9522.0,75000
2012-12,loc,27.869,19.29,224.0,75000
